#timestamp(s) tx ty tz qx qy qz qw
1403636580.863555431 -0.00598 0.01268 -0.10695 0.83464 0.03349 0.54901 -0.02895
1403636580.963555574 -0.00023 0.01432 -0.03062 0.82613 0.03341 0.56213 -0.02032
1403636581.063555479 0.00383 0.01705 0.04025 0.81854 0.03432 0.57304 -0.02123
1403636581.163555384 0.00703 0.01755 0.10225 0.81054 0.03065 0.58441 -0.02351
1403636581.263555527 0.00796 0.01599 0.15156 0.80090 0.02653 0.59762 -0.02636
1403636581.363555431 0.00398 0.01356 0.17732 0.79322 0.02687 0.60777 -0.02635
1403636581.463555574 0.00034 0.00976 0.17000 0.79395 0.02931 0.60692 -0.02072
1403636581.563555479 -0.00050 0.00772 0.13129 0.80107 0.02960 0.59757 -0.01785
1403636581.663555384 -0.00306 0.00479 0.07159 0.80799 0.02809 0.58815 -0.02102
1403636581.763555527 -0.00469 0.00029 0.00612 0.81113 0.02945 0.58368 -0.02270
1403636581.863555431 -0.00789 -0.00241 -0.06060 0.81344 0.03155 0.58019 -0.02643
1403636581.963555574 -0.01285 -0.00318 -0.12563 0.82027 0.02886 0.57057 -0.02776
1403636582.063555479 -0.01308 -0.00117 -0.18248 0.83000 0.02634 0.55661 -0.02453
1403636582.163555384 -0.01535 0.00191 -0.21948 0.83881 0.02821 0.54310 -0.02533
1403636582.263555527 -0.01575 0.00500 -0.22768 0.84386 0.03063 0.53502 -0.02674
1403636582.363555431 -0.01320 0.00881 -0.20023 0.84305 0.03141 0.53611 -0.02931
1403636582.463555574 -0.01046 0.01245 -0.14754 0.83531 0.03095 0.54806 -0.03053
1403636582.563555479 -0.00634 0.01422 -0.08374 0.82882 0.03086 0.55800 -0.02725
1403636582.663555384 -0.00315 0.01389 -0.01683 0.82572 0.02948 0.56290 -0.02167
1403636582.763555527 -0.00004 0.01183 0.04932 0.82250 0.02546 0.56781 -0.02089
1403636582.863555431 0.00411 0.00758 0.11430 0.81612 0.01672 0.57736 -0.01802
1403636582.963555574 0.00547 0.00373 0.17153 0.80648 0.01118 0.59094 -0.01638
1403636583.063555479 0.00357 0.00163 0.20627 0.79836 0.01060 0.60190 -0.01494
1403636583.163555384 0.00229 0.00022 0.20914 0.79695 0.01151 0.60384 -0.01084
1403636583.263555527 0.00203 0.00007 0.18060 0.79886 0.01411 0.60128 -0.00945
1403636583.363555431 0.00163 -0.00102 0.13073 0.80153 0.01584 0.59764 -0.01063
1403636583.463555574 -0.00044 -0.00352 0.06751 0.80486 0.01968 0.59298 -0.01374
1403636583.563555479 -0.00198 -0.00627 -0.00103 0.80930 0.02315 0.58677 -0.01382
1403636583.663555384 -0.00037 -0.00945 -0.07235 0.81746 0.02407 0.57530 -0.01450
1403636583.763555527 -0.00206 -0.00982 -0.13661 0.83014 0.02101 0.55673 -0.02178
1403636583.863555431 -0.00393 -0.00996 -0.18989 0.84000 0.01955 0.54172 -0.02361
1403636583.963555574 -0.00604 -0.00911 -0.22893 0.84434 0.02569 0.53478 -0.02076
1403636584.063555479 -0.01002 -0.00655 -0.24549 0.84484 0.03199 0.53348 -0.02497
1403636584.163555384 -0.00967 -0.00407 -0.23207 0.84470 0.03526 0.53327 -0.02949
1403636584.263555527 -0.00589 -0.00226 -0.19188 0.84370 0.03660 0.53472 -0.03023
1403636584.363555431 -0.00005 -0.00089 -0.13533 0.84153 0.03748 0.53815 -0.02867
1403636584.463555574 0.00858 -0.00155 -0.06715 0.83855 0.03838 0.54311 -0.01986
1403636584.563555479 0.01674 -0.00111 0.00638 0.83206 0.03633 0.55322 -0.01757
1403636584.663555384 0.02366 -0.00047 0.08008 0.82147 0.03053 0.56924 -0.01465
1403636584.763555527 0.02621 0.00042 0.14593 0.80947 0.02529 0.58652 -0.01048
1403636584.863555431 0.02496 0.00203 0.19874 0.80061 0.02136 0.59871 -0.01068
1403636584.963555574 0.02209 0.00382 0.22825 0.79645 0.01727 0.60429 -0.01391
1403636585.063555479 0.02182 0.00410 0.22770 0.79778 0.01349 0.60266 -0.01304
1403636585.163555384 0.02345 0.00302 0.20276 0.80101 0.01155 0.59842 -0.01200
1403636585.263555527 0.02535 0.00007 0.15991 0.80487 0.01152 0.59331 -0.00531
1403636585.363555431 0.02745 -0.00482 0.10813 0.80832 0.01593 0.58853 0.00163
1403636585.463555574 0.02798 -0.00825 0.05474 0.81307 0.02149 0.58177 0.00141
1403636585.563555479 0.02284 -0.01085 0.00424 0.81935 0.02906 0.57254 -0.00464
1403636585.663555384 0.01277 -0.01310 -0.03562 0.82653 0.03562 0.56151 -0.01690
1403636585.763555527 0.00147 -0.01410 -0.06058 0.83484 0.03794 0.54844 -0.02871
1403636585.863555431 -0.00830 -0.01420 -0.07170 0.84407 0.03758 0.53344 -0.03961
1403636585.963555574 -0.01673 -0.01422 -0.07243 0.85464 0.03573 0.51610 -0.04422
1403636586.063555479 -0.02243 -0.01481 -0.07013 0.86748 0.02903 0.49524 -0.03702
1403636586.163555384 -0.02815 -0.01219 -0.06516 0.87777 0.02013 0.47776 -0.02920
